Producto,Primero De Período,Volumen,Período,Provincia
Nafta (súper) entre 92 y 95 Ron,2019/06,18518,2019/06,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2019/07,19515,2019/07,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2019/08,19127,2019/08,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2019/09,18664,2019/09,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2019/10,20452,2019/10,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2019/11,19829,2019/11,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2019/12,19777,2019/12,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/01,18396,2020/01,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/02,18415,2020/02,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/03,13916,2020/03,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/04,7015,2020/04,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/05,10173,2020/05,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/06,12456,2020/06,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/07,13136,2020/07,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/08,12742,2020/08,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/09,11628,2020/09,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/10,13084,2020/10,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/11,13743,2020/11,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2020/12,16895,2020/12,MENDOZA
Nafta (súper) entre 92 y 95 Ron,2021/01,16311,2021/01,MENDOZA
